uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:0WcCZlS410CxwBSsd2aSRq,Grizz (feat. Snak the Ripper),0.333,0.572,0.0861,0.119,0,
spotify:track:53Y0kdCa1CZ9gRqEuknfwy,Bang My Head (feat. Sia & Fetty Wap),0.593,0.869,0.0789,0.0525,0.00719,
spotify:track:7nkx4xaSj9j1FN9JpGxIg9,I Got Saved,0.274,0.77,0.0367,0.122,0,
spotify:track:4rRiFaovckVckTLFNEXOen,Changed My Mind,0.371,0.831,0.164,0.312,0.000123,
spotify:track:3TjQAc2PzWzlSDrnq61J1y,The Devil's Bleeding Crown,0.21,0.909,0.0412,1.62E-05,0.139,
spotify:track:5BtWS1MS68F7tI1jAXSmEb,Talk to Me,0.459,0.487,0.112,0.0542,4.49E-06,
spotify:track:3ABgJ21jrLYvUkbhDeloq9,Destiny,0.125,0.425,0.0302,0.54,0,
spotify:track:0xVU3b2ZWl8cq8QuZ6oYPl,French Navy,0.668,0.853,0.0432,0.0105,0,
spotify:track:3fx1B1b2w38CxUJScopYYh,Strawberita,0.431,0.806,0.0586,0.00188,0.0028,
spotify:track:7DbvkEtWyvcglWcj9jyBPN,SummertimeSoul,0.29,0.724,0.0549,0.0219,0.0069,
spotify:track:0dCkP52sqp3Y25jODhmuNn,Do You Miss Me at All,0.485,0.647,0.0709,0.0239,0.00024,
spotify:track:3IMgPL9BVLSFbq7cdUGt31,Miracle - (Acoustic),0.712,0.585,0.0279,0.712,4.97E-06,
spotify:track:2ZQiI8jYatiYH1Kmidmi6w,No Lie - Sam Feldt Remix,0.544,0.85,0.145,0.0799,0,
spotify:track:3wYq8L0D3ihCZ9sL6grUzk,I Shot The Sheriff - Live At The Roxy,0.747,0.792,0.116,0.526,0.000142,
spotify:track:29g6Bk47iK83yf6hka9Qhd,Fire In The Sky,0.214,0.604,0.0313,0.0555,0.00655,
spotify:track:0l9OAZg5f98Of2syIS1ukV,Tricky Nicky,0.555,0.284,0.278,0.471,0,
spotify:track:21JYNU1nP8hUjkNDKpJV78,What If I Stumble - Live,0.535,0.568,0.0465,0.33,0.023,
spotify:track:2lp8xjq0WTm3HZKHuDEweg,Tell Me,0.888,0.362,0.0634,0.035,3.99E-06,
spotify:track:1Fpi6DTUhLE7YZX9xXd1wV,24 Hours,0.719,0.842,0.0456,0.000669,0.00289,
spotify:track:4OEHU2B1XgboOVYXw7BVes,Fruit Trees,0.764,0.627,0.0342,0.358,0.0618,
spotify:track:4gOZgRd1xSOjmUkP2NxFqX,Dead or in Jail,0.594,0.905,0.0571,0.00662,0,
spotify:track:4mNFQGXQmTCdyhAGjaNVSb,Before The Dive,0.527,0.742,0.0271,0.0852,7.20E-05,
spotify:track:41gQlLoRlq8qOWwb7OE1nl,Father Can You Hear Me,0.287,0.552,0.0343,0.378,0,
spotify:track:1sQ5WUWw3JrsSEhdiQlfRt,I'll Never Find Another You,0.79,0.672,0.0336,0.75,0.0837,
spotify:track:5UgsZiYk1lkEobuPHmRtWm,Girl Almighty,0.495,0.895,0.0414,0.0424,0,
spotify:track:0NWQTyapmz4GuDTSN9xTB7,Candyman,0.26,0.864,0.0477,0.0215,0,
spotify:track:6J6srfPVjNAVEP3dMAYY3j,They Say It's Spring,0.223,0.213,0.0421,0.95,6.48E-06,
spotify:track:1JmueSYqV0w7t0Hfm665LU,Slaytina,0.76,0.693,0.0398,0.00408,0.00172,
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,0.552,0.438,0.0346,0.216,0.000466,
spotify:track:3Mu5nGJNRiDWdFgHV3OuIo,Ain't No Playa (Playaz Sh*t),0.449,0.763,0.11,0.0106,0,
spotify:track:1Hv9jt2IDAOtTAfMuopz11,Mordfabrik,0.589,0.641,0.0328,0.538,0.687,
spotify:track:3h6RD7RYENDIb3qB9Bw4OB,Cavalier,0.0399,0.294,0.0439,0.912,0.000177,
spotify:track:6gYhwQ4mKirCbLFE1eYKhu,Hard Sun,0.6,0.84,0.0325,0.0589,0.000913,
spotify:track:3nasVr4XullSYYatexnHkk,Eleven% Eleven,0.442,0.426,0.0383,0.345,0,
spotify:track:6Jmuk8QugHVYOb6MBTamPA,Milagro de Amor (feat. Joel De Jesús),0.529,0.889,0.356,0.271,0,
spotify:track:57U809GxXzBaY7Vk8ZKfDT,Miss It So Much,0.805,0.851,0.0372,0.00962,0.817,
spotify:track:7E23yULGPEoMqYuv139EDR,Frankenstein,0.367,0.628,0.0395,0.717,0.000151,
spotify:track:5vRMEFOuzCuQedZlmpUHDr,Since You're Gone,0.526,0.342,0.0289,0.515,1.65E-05,
spotify:track:58BI5Iw9BIBBK3T3i6mNTJ,Je T'aime Till My Dying Day,0.234,0.439,0.0475,0.4,0.0163,
spotify:track:1OrLetKIo0lTl8YYnaa2kk,Love / Idleness,0.453,0.547,0.0363,0.772,0,
spotify:track:3DfHAdEz1ExcpIt8rnn1Gt,Evil - From Naruto,0.0545,0.47,0.0313,0.148,0.861,
